AC Number,Booth Number 2014,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
88,1,27.61,43.05,26.64,0.19,2.51,518
88,2,24.72,42.6,24.06,0.44,8.17,453
88,3,31.56,38.93,25,0,4.51,488
88,4,34.31,41.08,20.77,0.9,2.93,443
88,5,19,56.25,14.62,0.75,9.38,800
88,6,18.68,73.31,5.87,0.36,1.78,562
88,7,41.55,34.31,21.03,0,3.1,580
88,8,27.78,47.22,22.08,0,2.92,720
88,9,21.33,43.69,25.67,1.04,8.28,483
88,10,36.46,36.86,19.55,0.2,6.92,491
88,11,37.91,43.26,15.27,0,3.56,393
88,12,31.97,37.16,24.59,0.68,5.6,732
88,13,36.66,40.83,17.73,0.3,4.47,671
88,14,52.37,27.74,17.52,1.09,1.28,548
88,15,34.95,33.06,27.69,0.54,3.76,744
88,16,56.61,20.11,21.9,0,1.38,726
88,17,47.79,40.59,9.04,0.37,2.21,542
88,18,37.61,35,23.91,0.43,3.04,460
88,19,41.8,33.4,20.45,0.3,4.05,988
88,20,37.17,44.99,15.3,0,2.53,869
88,21,22.71,62.24,10.62,0.29,4.13,678
88,22,22.39,57.3,16.97,1.11,2.23,719
88,23,15.03,69.26,11.74,0.17,3.8,579
88,24,54.9,20.36,22.78,0.15,1.81,663
88,25,20.51,20.69,34.12,0.36,24.32,551
88,26,34.19,25.69,24.31,0.2,15.61,506
88,27,22.93,59.84,12.68,0.49,4.07,615
88,28,34.95,15.16,40.11,0.43,9.35,930
88,29,30.56,25.13,34.13,0.51,9.68,589
88,30,29.97,24.32,38.36,0.17,7.19,584
88,31,18.42,53.82,22.67,0.48,4.61,825
88,32,32.23,62.09,5.13,0,0.55,546
88,33,29.26,45.02,17.04,2.57,6.11,311
88,34,26.31,49.08,20.46,1.08,3.08,650
88,35,22.49,55.65,16.21,1.57,4.08,956
88,36,23.16,55.74,18.44,0.2,2.46,488
88,37,34.54,43.5,17.48,1.28,3.2,469
88,38,29.45,43.04,25.11,0.11,2.28,876
88,39,27.1,54.34,14.82,0.6,3.14,668
88,40,26.32,42.33,17.23,0.68,13.43,737
88,41,25.66,38.89,29.1,0.53,5.82,756
88,42,27.68,49.83,17.62,0.17,4.7,596
88,43,33.16,38.72,22.73,1.18,4.21,594
88,44,29.24,44.64,21.44,0.97,3.7,513
88,45,38.73,31.66,24.95,0.19,4.47,537
88,46,42.66,24.31,26.61,0.23,6.19,436
88,47,45.75,20.61,30.74,0.18,2.71,553
88,48,41.43,28.49,24.3,0,5.78,502
88,49,29.33,46.97,21.35,0.22,2.13,890
88,50,9.99,43.97,41.19,1.25,3.61,721
88,51,12.77,39.9,41,0.85,5.47,822
88,52,13.06,65.32,19.68,0.32,1.61,620
88,53,14.49,51.73,32.45,0,1.33,752
88,54,14.79,60.51,23.15,0.19,1.36,514
88,55,14.61,64.29,19.57,0.25,1.27,787
88,56,11.85,52.92,26.79,4.55,3.9,616
88,57,16.53,60.5,21.32,0.66,0.99,605
88,58,8.47,57.21,30.78,0.69,2.86,874
88,59,17.04,56.39,20.8,1.5,4.26,798
88,60,19.48,54.03,22.08,1.43,2.99,770
88,61,15.97,62.73,17.59,1.39,2.31,432
88,62,11.82,60.98,20.83,0.38,6,533
88,63,19.71,51.01,24.66,0.45,4.17,888
88,64,11.39,53.22,26.36,0,9.03,808
88,65,12.06,49.16,22.75,0.31,15.73,655
88,66,12.81,71.6,13.7,0.2,1.69,1007
88,67,11.64,52.47,32.85,0.16,2.87,627
88,68,15.06,63.89,18.48,0.12,2.45,817
88,69,14.14,62.6,20.75,0,2.51,877
88,70,8.78,50.64,37.66,0.37,2.56,547
88,71,10.14,60.85,26.98,0.2,1.83,493
88,72,8.32,39.79,46.68,0.26,4.94,769
88,73,11.39,63.9,22.78,0.58,1.35,518
88,74,8.86,68.3,20.8,0.23,1.82,880
88,75,12.02,54.84,29.29,0.35,3.5,857
88,76,9.55,56.5,32.23,0,1.72,754
88,77,13.53,53.19,30.79,0.47,2.02,643
88,78,16.07,51.43,31.07,0,1.43,280
88,79,21.78,55.35,22.14,0,0.73,822
88,80,19.68,55.13,23.23,0.12,1.83,818
88,81,6.94,60.21,30.76,0.13,1.96,764
88,82,18.94,45.3,33.29,0.25,2.23,808
88,83,15.69,54.9,27.7,0,1.72,408
88,84,18.22,49.53,31.07,0,1.17,428
88,85,22.03,49.24,27.59,0,1.14,790
88,86,10.24,44.02,38.7,1.6,5.45,752
88,87,18.9,39.04,38.36,0.41,3.29,730
88,88,13.75,40.92,43.37,0.16,1.8,611
88,89,10.08,46.98,39.29,0.76,2.9,794
88,90,17.05,44.22,33.82,0.72,4.19,692
88,91,18.72,51.23,24.89,0.34,4.82,892
88,92,20.39,51.72,24.25,0.21,3.43,466
