AC No,BoothNo.,SAD,AAAP,INC,BSP,Total Valid Votes
88,1,160,54,234,0,463
88,2,127,50,247,0,454
88,3,118,66,312,0,529
88,4,139,44,263,0,468
88,5,143,28,315,0,574
88,6,121,44,336,0,628
88,7,147,36,355,0,562
88,8,258,49,292,0,659
88,9,210,31,205,0,485
88,10,176,101,210,0,525
88,11,161,42,189,0,418
88,12,235,100,272,0,666
88,13,129,102,299,0,592
88,14,267,33,143,0,475
88,15,323,43,347,0,751
88,16,386,37,170,0,634
88,17,188,28,200,0,437
88,18,220,22,251,0,523
88,19,299,41,426,0,836
88,20,277,49,315,0,709
88,21,279,95,238,0,657
88,22,251,87,279,0,675
88,23,246,109,287,0,676
88,24,249,84,286,0,644
88,25,136,23,300,0,500
88,26,140,30,210,0,424
88,27,213,60,204,0,580
88,28,276,34,397,0,770
88,29,204,40,192,0,481
88,30,198,41,218,0,503
88,31,191,48,446,0,727
88,32,226,57,278,0,588
88,33,127,19,133,0,332
88,34,218,50,393,0,698
88,35,323,84,410,0,915
88,36,156,55,301,0,557
88,37,190,50,244,0,509
88,38,195,127,253,0,626
88,39,276,137,290,0,770
88,40,296,67,256,0,763
88,41,245,41,286,0,620
88,42,316,64,310,0,740
88,43,231,81,197,0,545
88,44,222,80,150,0,491
88,45,243,57,191,0,509
88,46,199,23,240,0,473
88,47,300,5,270,0,596
88,48,286,32,196,0,559
88,49,213,63,421,0,776
88,50,288,70,482,0,919
88,51,212,111,293,0,669
88,52,225,61,381,0,707
88,53,164,89,194,0,478
88,54,178,74,311,0,583
88,55,146,70,247,0,622
88,56,162,69,253,0,515
88,57,204,108,417,0,807
88,58,228,148,358,0,858
88,59,226,81,330,0,690
88,60,133,63,158,0,385
88,61,235,53,199,0,526
88,62,253,74,326,0,768
88,63,174,86,330,0,639
88,64,234,63,223,0,583
88,65,303,136,368,0,858
88,66,179,104,321,0,655
88,67,222,108,359,0,741
88,68,185,103,341,0,683
88,69,128,45,279,0,477
88,70,105,52,245,0,435
88,71,155,77,482,0,782
88,72,148,84,250,0,505
88,73,183,128,380,0,727
88,74,173,71,447,0,725
88,75,147,69,406,0,659
88,76,188,45,325,0,590
88,77,80,18,149,0,255
88,78,216,79,280,0,601
88,79,245,118,260,0,655
88,80,173,62,289,0,612
88,81,234,37,347,0,634
88,82,165,29,155,0,364
88,83,125,20,174,0,335
88,84,265,50,339,0,676
88,85,199,49,358,0,652
88,86,225,38,348,0,684
88,87,169,25,344,0,580
88,88,200,60,472,0,774
88,89,301,74,334,0,763
88,90,248,84,365,0,786
88,91,176,73,272,0,559
88,92,308,93,315,0,768
88,93,245,60,287,0,629
88,94,276,56,249,0,638
88,95,348,48,297,0,735
88,96,307,89,346,0,809
88,97,233,85,321,0,672
88,98,316,140,260,0,752
88,99,162,97,384,0,670
88,100,179,109,443,0,805
88,101,201,68,495,0,844
88,102,341,50,356,0,815
88,103,260,104,523,0,936
88,104,138,111,342,0,641
88,105,99,79,313,0,559
88,106,142,61,229,0,491
88,107,214,134,347,0,739
88,108,164,80,229,0,533
88,109,92,199,227,0,543
88,110,136,73,270,0,517
88,111,177,88,397,0,725
88,112,260,44,488,0,841
88,113,247,209,357,0,838
88,114,233,48,194,0,502
88,115,172,81,343,0,720
88,116,106,17,331,0,530
88,117,74,41,332,0,541
88,118,221,156,353,0,802
88,119,299,34,253,0,639
88,120,229,25,226,0,527
88,121,267,57,311,0,684
88,122,192,56,335,0,646
88,123,108,55,213,0,419
88,124,90,41,135,0,292
88,125,271,171,309,0,872
88,126,251,62,335,0,724
88,127,192,49,443,0,740
88,128,199,63,320,0,601
88,129,210,71,373,0,754
88,130,234,49,396,0,767
88,131,144,18,359,0,647
88,132,235,40,214,0,564
88,133,161,30,314,0,536
88,134,148,29,252,0,530
88,135,266,30,334,0,715
88,136,170,62,398,0,807
88,137,127,15,189,0,380
88,138,146,18,172,0,376
88,139,159,179,331,0,735
88,140,162,100,361,0,716
88,141,170,151,328,0,672
88,142,258,95,311,0,704
88,143,376,70,358,0,872
88,144,178,43,202,0,461
88,145,261,27,252,0,560
88,146,260,187,293,0,762
88,147,116,95,318,0,567
88,148,164,52,247,0,494
88,149,174,99,505,0,813
88,150,257,57,169,0,512
88,151,161,43,186,0,434
88,152,150,89,216,0,533
88,153,234,66,349,0,749
88,154,123,48,224,0,448
